RESPID_AP20,LANGUAGE_AP20,INTERVIEW_START_AP20,INTERVIEW_END_AP20,ECON1MOD_AP20,ECON1BMOD_AP20,TYPOLOGYb_AP20,COVIDWORK_a_AP20,COVIDWORK_b_AP20,COMATTACH_AP20,VET1_AP20,VOL12_CPS_AP20,HLTHRATE_AP20,DISA_AP20,ROBWRK_AP20,RESPFUT_AP20,EMINUSE_AP20,INTMOB_AP20,INTFREQ_AP20,HOMEINTSERV_AP20,SMUSE_a_AP20,SMUSE_b_AP20,SMUSE_c_AP20,SMUSE_d_AP20,SMUSE_e_AP20,SMUSE_f_AP20,SMUSE_g_AP20,SMUSE_h_AP20,BOOKS_AP20,RADIO_AP20,DEVICE1a_AP20,SMART2_AP20,RELIG_AP20,BORN_AP20,ATTEND_AP20,RELIMP_AP20,PRAY_AP20,REG_AP20,INSURANCE_AP20,SEXASK_AP20,MARITAL_AP20,PARTY_AP20,PARTYLN_AP20,HISP_AP20,RACEMOD_1_AP20,RACEMOD_2_AP20,RACEMOD_3_AP20,RACEMOD_4_AP20,RACEMOD_5_AP20,RACEMOD_6_AP20,RACECMB_AP20,AGE_AP20,EDUC_ACS_AP20,NUMADULTS_AP20,NATIVITY_AP20,INCOME_AP20,REGION_NAME,MSA,MODE,BASEWEIGHT,WEIGHT
526.0,English,2020-06-13,2020-06-13 06:07:34,Only fair,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Very attached,"No, nobody in household",Yes,Very good,No,Probably not happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this",50.0,Yes,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Seldom,Somewhat important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,70.0,"Doctorate degree (for example: PhD, EdD)",2.0,U.S.,"$100,000 to less than $150,000",Midwest,Metropolitan Statistical Area,Online,2.1311079940977207,0.6567613821943489
527.0,English,2020-06-13,2020-06-13 06:39:18,Excellent,Better,Business corporations make too much profit,"No, has not happened","Yes, has happened",Somewhat attached,"Yes, self",No,Very good,No,Probably not happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","Yes, use this","Yes, use this",1.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Seldom,Somewhat important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Democrat,,No,0.0,Black or African American,0.0,0.0,0.0,0.0,Black or African-American,61.0,"1 or more years of college credit, no degree",2.0,U.S.,"$75,000 to less than $100,000",South,Metropolitan Statistical Area,Online,2.1311079940977207,0.9252190022123788
528.0,English,2020-06-13,2020-06-13 06:41:05,Only fair,Worse,Business corporations make too much profit,"No, has not happened","No, has not happened",Not too attached,"No, nobody in household",No,Fair,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",3.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Seldom,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Widowed,Independent,Refused,No,White,0.0,0.0,0.0,0.0,0.0,White,56.0,"Associate’s degree (for example: AA, AS)",1.0,U.S.,"$20,000 to less than $30,000",Northeast,Metropolitan Statistical Area,Online,1.0655539970488603,0.37189728812556383
529.0,English,2020-06-13,2020-06-13 07:05:45,Good,About the same,Business corporations make too much profit,"Yes, has happened","Yes, has happened",Not at all attached,"No, nobody in household",Yes,Good,No,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this",1.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"No, not born-again or evangelical Christian",Once or twice a month,Very important,Once a day,"You are PROBABLY registered, but there is a chance your registration has lapsed",Covered by health insurance,Male,Never been married,Something else,The Democratic Party,Yes,White,0.0,0.0,0.0,0.0,0.0,White,32.0,"Bachelor’s degree (for example: BA, BS)",2.0,Puerto Rico,"$20,000 to less than $30,000",South,Metropolitan Statistical Area,Online,1.626633001664655,1.6100873809511138
530.0,English,2020-06-13,2020-06-13 07:08:57,Only fair,Better,Business corporations make too much profit,"No, has not happened","Yes, has happened",Very attached,"No, nobody in household",Yes,Very good,No,Probably happen,The federal government,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this",30.0,Yes,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Once a week,Somewhat important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Divorced,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,66.0,Regular high school diploma,2.0,U.S.,"$30,000 to less than $40,000",Northeast,Metropolitan Statistical Area,Online,2.1311079940977207,1.3910437642430042
531.0,English,2020-06-13,2020-06-13 07:09:58,Good,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Not at all attached,"No, nobody in household",No,Good,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",2.0,Yes,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,Never,Not at all important,Seldom,You are NOT registered to vote at your current address,Not covered by health insurance,Female,Married,Independent,The Democratic Party,No,White,0.0,0.0,0.0,0.0,0.0,White,35.0,Regular high school diploma,2.0,U.S.,"$75,000 to less than $100,000",South,Metropolitan Statistical Area,Online,2.1311079940977207,2.153646610212531
532.0,English,2020-06-13,2020-06-13 07:24:20,Good,About the same,Business corporations make too much profit,"No, has not happened","Yes, has happened",Not at all attached,"No, nobody in household",No,Very good,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,Other kind of connection,"No, don’t use this","Yes, use this","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","Yes, use this",0.0,Yes,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,Never,Not at all important,Never,"You are PROBABLY registered, but there is a chance your registration has lapsed",Covered by health insurance,Male,Divorced,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,26.0,"Associate’s degree (for example: AA, AS)",1.0,U.S.,"$100,000 to less than $150,000",Midwest,Metropolitan Statistical Area,Online,1.0655539970488603,2.1131859273656453
533.0,English,2020-06-13,2020-06-13 07:42:23,Only fair,About the same,Business corporations make too much profit,"Yes, has happened","No, has not happened",Somewhat attached,"No, nobody in household",Yes,Good,Yes,Definitely happen,Schools,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this",6.0,Yes,"Yes, have a cellphone","Yes, smartphone",Agnostic,,Never,Not at all important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,51.0,Regular high school diploma,2.0,U.S.,"$50,000 to less than $75,000",Northeast,Metropolitan Statistical Area,Online,1.626633001664655,0.9878834751840231
534.0,English,2020-06-13,2020-06-13 07:42:34,Excellent,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Very attached,"No, nobody in household",No,Excellent,No,Probably happen,Schools,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this",0.0,Yes,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,A few times a year,Very important,A few times a month,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Never been married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,44.0,Regular high school diploma,2.0,U.S.,"$20,000 to less than $30,000",South,Metropolitan Statistical Area,Online,2.1311079940977207,1.1677449177187575
535.0,English,2020-06-13,2020-06-13 07:52:06,Poor,About the same,Most corporations make a fair and reasonable amount of profit,"No, has not happened","Yes, has happened",Somewhat attached,"No, nobody in household",Yes,Excellent,No,Definitely happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this",8.0,No,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",More than once a week,Somewhat important,Several times a day,,Covered by health insurance,Female,Married,Republican,,No,0.0,0.0,Asian or Asian-American,0.0,0.0,0.0,Asian or Asian-American,41.0,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",2.0,Another country,"$150,000 or more",Northeast,Metropolitan Statistical Area,Online,2.1311079940977207,1.3245203198109425
536.0,English,2020-06-13,2020-06-13 07:55:33,Only fair,Better,Business corporations make too much profit,"No, has not happened","Yes, has happened",Somewhat attached,"No, nobody in household",Yes,Good,No,Probably happen,Schools,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",10.0,No,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Once a week,Somewhat important,A few times a week,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Independent,The Democratic Party,No,White,0.0,0.0,0.0,0.0,0.0,White,,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",2.0,U.S.,Refused,Northeast,Metropolitan Statistical Area,Online,2.1311079940977207,0.7496635465964346
537.0,English,2020-06-13,2020-06-13 08:03:13,Only fair,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Very attached,"No, nobody in household",No,Very good,No,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",5.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",More than once a week,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Democrat,,No,0.0,Black or African American,0.0,0.0,0.0,0.0,Black or African-American,71.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$75,000 to less than $100,000",South,Metropolitan Statistical Area,Online,1.9701671652116497,0.4491695911455659
538.0,English,2020-06-13,2020-06-13 07:58:58,Good,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","Yes, has happened",Somewhat attached,"No, nobody in household",No,Very good,No,Probably happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","Yes, use this","Yes, use this",10.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once or twice a month,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Republican,,Yes,White,0.0,0.0,0.0,0.0,0.0,White,46.0,"1 or more years of college credit, no degree",4.0,U.S.,"$100,000 to less than $150,000",South,Metropolitan Statistical Area,Online,2.4399495024969826,0.5119429197198837
539.0,English,2020-06-13,2020-06-13 08:03:26,Good,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Very attached,"No, nobody in household",Yes,Very good,No,Probably not happen,The federal government,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this",10.0,Yes,"Yes, have a cellphone","Yes, smartphone",Agnostic,,Seldom,Not too important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,61.0,"Bachelor’s degree (for example: BA, BS)",4.0,Another country,"$150,000 or more",South,Metropolitan Statistical Area,Online,3.1580463667306837,0.7387755879029347
540.0,English,2020-06-13,2020-06-13 08:15:28,Only fair,Better,Business corporations make too much profit,Refused,"Yes, has happened",Somewhat attached,"No, nobody in household",No,Good,No,Probably not happen,Individuals themselves,Yes,No,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",0.0,Yes,"Yes, have a cellphone","No, not a smartphone",Roman Catholic,"No, not born-again or evangelical Christian",A few times a year,Somewhat important,A few times a week,"You are PROBABLY registered, but there is a chance your registration has lapsed",Covered by health insurance,Male,Divorced,Independent,The Democratic Party,No,White,0.0,0.0,0.0,0.0,0.0,White,70.0,"1 or more years of college credit, no degree",1.0,U.S.,Refused,Midwest,Metropolitan Statistical Area,Online,1.0655539970488603,0.5710479516306961
541.0,English,2020-06-13,2020-06-13 08:19:54,Only fair,Better,Business corporations make too much profit,"Yes, has happened","No, has not happened",Very attached,"No, nobody in household",Yes,Excellent,No,Probably not happen,Employers,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this","Yes, use this","Yes, use this",8.0,Yes,"Yes, have a cellphone","Yes, smartphone",Mormon (Church of Jesus Christ of Latter-day Saints or LDS),"No, not born-again or evangelical Christian",Once a week,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,36.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$100,000 to less than $150,000",Midwest,Metropolitan Statistical Area,Online,2.1311079940977207,0.5883318926408619
542.0,English,2020-06-13,2020-06-13 08:19:56,Only fair,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","Yes, has happened",Very attached,"No, nobody in household",No,Very good,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",0.0,Yes,"Yes, have a cellphone","No, not a smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Once a week,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,67.0,Regular high school diploma,2.0,U.S.,"$30,000 to less than $40,000",West,Metropolitan Statistical Area,Online,2.1311079940977207,1.3069153388135513
543.0,English,2020-06-13,2020-06-13 08:33:51,Only fair,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Very attached,"Yes, someone else in household",No,Good,Yes,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",25.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"No, not born-again or evangelical Christian",A few times a year,Not too important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Living with a partner,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,64.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$20,000 to less than $30,000",Midwest,Metropolitan Statistical Area,Online,2.1311079940977207,0.5711821139238514
544.0,English,2020-06-13,2020-06-13 08:29:58,Good,About the same,Business corporations make too much profit,"No, has not happened","No, has not happened",Very attached,"No, nobody in household",Yes,Very good,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",6.0,Yes,"Yes, have a cellphone","Yes, smartphone",Mormon (Church of Jesus Christ of Latter-day Saints or LDS),"No, not born-again or evangelical Christian",Once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Something else,The Republican Party,No,White,0.0,0.0,0.0,0.0,0.0,White,46.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$100,000 to less than $150,000",West,Metropolitan Statistical Area,Online,1.9701671652116497,0.5833844024953608
545.0,English,2020-06-13,2020-06-13 08:41:18,Poor,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Good,Yes,Probably happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this",2.0,Yes,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Never,Not too important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Divorced,Independent,The Republican Party,No,White,0.0,0.0,0.0,0.0,0.0,White,62.0,"Bachelor’s degree (for example: BA, BS)",1.0,U.S.,"$30,000 to less than $40,000",Northeast,Metropolitan Statistical Area,Online,1.0655539970488603,0.33332354141614684
546.0,English,2020-06-13,2020-06-13 08:46:13,Only fair,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Very attached,"No, nobody in household",Yes,Excellent,No,Probably not happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this",50.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once a week,Very important,A few times a week,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,61.0,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",2.0,U.S.,"$150,000 or more",South,Metropolitan Statistical Area,Online,2.1311079940977207,0.5034010027936318
547.0,English,2020-06-13,2020-06-13 08:58:04,Good,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Not too attached,"No, nobody in household",Yes,Good,No,Probably happen,Schools,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",0.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",A few times a year,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Divorced,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,63.0,"Associate’s degree (for example: AA, AS)",3.0,U.S.,"$40,000 to less than $50,000",South,Metropolitan Statistical Area,Online,3.196661991146581,1.0884047790779656
548.0,English,2020-06-13,2020-06-13 08:50:29,Only fair,About the same,Business corporations make too much profit,"No, has not happened","No, has not happened",Not at all attached,"No, nobody in household",No,Fair,No,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","Yes, use this",10.0,Yes,"Yes, have a cellphone","Yes, smartphone",Agnostic,,Never,Not at all important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,61.0,"Associate’s degree (for example: AA, AS)",2.0,U.S.,"$50,000 to less than $75,000",South,Metropolitan Statistical Area,Online,2.1311079940977207,0.6358073860156673
549.0,English,2020-06-13,2020-06-13 08:51:55,Poor,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Not at all attached,"No, nobody in household",Yes,Very good,No,Probably happen,The federal government,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",20.0,No,"Yes, have a cellphone","Yes, smartphone",Atheist,,Never,Not at all important,Never,You are NOT registered to vote at your current address,Covered by health insurance,Female,Living with a partner,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,27.0,"Professional degree beyond a bachelor’s degree (for example: MD, DDS, DVM, LLB, JD)",2.0,U.S.,"$150,000 or more",South,Metropolitan Statistical Area,Online,1.626633001664655,0.9492512962970777
550.0,English,2020-06-13,2020-06-13 09:02:04,Good,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Very good,No,Probably happen,Schools,Yes,No,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",5.0,Yes,"Yes, have a cellphone","Yes, smartphone",Buddhist,,A few times a year,Not too important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Independent,The Republican Party,No,0.0,0.0,Asian or Asian-American,0.0,0.0,0.0,Asian or Asian-American,52.0,"Bachelor’s degree (for example: BA, BS)",2.0,Another country,"$100,000 to less than $150,000",West,Metropolitan Statistical Area,Online,2.1311079940977207,0.7297885677296938
551.0,English,2020-06-13,2020-06-13 08:57:54,Only fair,About the same,Business corporations make too much profit,"Yes, has happened","Yes, has happened",Somewhat attached,"No, nobody in household",Yes,Excellent,No,Probably not happen,Schools,Yes,Yes,Several times a day,Refused,"Yes, use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",12.0,Yes,"Yes, have a cellphone","No, not a smartphone",Protestant,"No, not born-again or evangelical Christian",A few times a year,Very important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Never been married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,35.0,"Bachelor’s degree (for example: BA, BS)",1.0,U.S.,"$40,000 to less than $50,000",West,Metropolitan Statistical Area,Online,0.8133165008323275,0.33898370027711516
552.0,English,2020-06-13,2020-06-13 08:57:05,Good,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",Yes,Excellent,No,Probably not happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",10.0,Yes,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Once a week,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Widowed,Something else,The Republican Party,No,White,0.0,0.0,0.0,0.0,0.0,White,67.0,Regular high school diploma,1.0,U.S.,"$30,000 to less than $40,000",South,Metropolitan Statistical Area,Online,1.0655539970488603,0.6133287721271352
553.0,English,2020-06-13,2020-06-13 08:59:08,Good,Better,Business corporations make too much profit,"Yes, has happened","No, has not happened",Not too attached,"No, nobody in household",No,Very good,No,Definitely happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",2.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once or twice a month,Very important,A few times a week,You are NOT registered to vote at your current address,Covered by health insurance,Male,Married,Something else,The Republican Party,No,White,0.0,0.0,0.0,0.0,0.0,White,56.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$30,000 to less than $40,000",Northeast,Metropolitan Statistical Area,Online,2.1311079940977207,1.0569315564306165
554.0,English,2020-06-13,2020-06-13 09:01:39,Excellent,About the same,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",Yes,Very good,No,Probably not happen,Schools,Yes,Yes,Almost constantly,Satellite service received through a satellite dish installed at home,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this",3.0,Yes,"Yes, have a cellphone","Yes, smartphone",Jewish,,A few times a year,Somewhat important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Never been married,Republican,,Yes,White,0.0,0.0,0.0,0.0,0.0,White,18.0,Regular high school diploma,3.0,U.S.,"$150,000 or more",Midwest,Metropolitan Statistical Area,Online,3.196661991146581,3.6874854476720866
555.0,English,2020-06-13,2020-06-13 09:08:58,Good,About the same,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",Yes,Very good,No,Probably not happen,Schools,Yes,Yes,About once a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this",10.0,Yes,"Yes, have a cellphone","Yes, smartphone",Jewish,,Once or twice a month,Very important,Once a week,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,59.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$150,000 or more",South,Metropolitan Statistical Area,Online,2.1311079940977207,0.5687139860777876
556.0,English,2020-06-13,2020-06-13 09:14:47,Excellent,About the same,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Very good,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this",0.0,Yes,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,Seldom,Not at all important,Never,You are NOT registered to vote at your current address,Covered by health insurance,Male,Never been married,Democrat,,Yes,White,0.0,0.0,0.0,0.0,0.0,White,68.0,"Some college credit, but less than 1 year of college credit",1.0,Another country,"$100,000 to less than $150,000",South,Metropolitan Statistical Area,Online,0.8133165008323275,0.5109680803608906
